Order,Family,Species,Seeds,Invertebrate,Fungi,Vertebrate,Flowers.Gum,Roots.Tubers,Green.Plants,Fruit,Main_food,Body_mass_g,Diet diversity (Inv simpson),,
Afrosoricida,Chrysochloridae,Eremitalpa granti,0,93,0,0,0,7,0,0,Insectivore,26.1,0.253638947,,
Artiodactyla,Bovidae,Aepyceros melampus,0,0,0,0,0,0,100,0,Herbivore,52500.084,0,,
Artiodactyla,Bovidae,Ammotragus lervia,0,0,0,0,0,0,100,0,Herbivore,48000,0,,
Artiodactyla,Bovidae,Antidorcas marsupialis,0,0,0,0,0,0,98.5,1.5,Herbivore,31500,0.077882509,,
Artiodactyla,Bovidae,Cephalophus callipygus,0,0,0.1,0,0.9,0,16.3,82.7,Frugivore,18249.879,0.502074492,,
Artiodactyla,Bovidae,Cephalophus dorsalis,0,0.1,0.1,0,0.4,0,26.57,72.83,Frugivore,20000,0.618958648,,
Artiodactyla,Bovidae,Cephalophus leucogaster,0,0.1,0.1,0,2.2,0,24.7,72.9,Frugivore,12699.891,0.673603275,,
Artiodactyla,Bovidae,Cephalophus nigrifrons,0,0.1,0.4,0,0.2,0,27.7,71.6,Frugivore,13899.846,0.636215958,,
Artiodactyla,Bovidae,Cephalophus silvicultor,0,0.1,0,0,0,0,28.6,71.3,Frugivore,72500.333,0.606101368,,
Artiodactyla,Bovidae,Hyemoschus aquaticus,0,0.2,0.7,0,0.1,0,30.37,68.63,Frugivore,10850.007,0.674344771,,
Artiodactyla,Bovidae,Philantomba monticola,0,0.5,0.2,0,0.6,0,20.28,78.42,Frugivore,6250,0.583823388,,
Artiodactyla,Bovidae,Tragelaphus spekii,0,0,0,0,0,0,99.9,0.1,Herbivore,77999.173,0.007907255,,
Artiodactyla,Tayassuidae,Tayassu pecari,0,0,0,0,0,0,39,61,Frugivore,32233.688,0.668748087,,
Carnivora,Canidae,Canis lupus dingo,0,0,0,100,0,0,0,0,Carnivore,32183.333,0,,
Carnivora,Canidae,Canis mesomelas,0,68.4,0,29.2,0,0,1.8,0.6,Insectivore,8500.021,0.722242705,,
Carnivora,Canidae,Otocyon megalotis,0,56.72,0,0.9,0,0,26.82,15.55,Insectivore,4150.018,1.006382099,,
Carnivora,Canidae,Urocyon cinereoargenteus,31.11,3.65,0,45.93,0,0,1.25,18.06,Mixed feeder,3833.717,1.205310317,,
Carnivora,Canidae,Vulpes lagopus,0,0,0,100,0,0,0,0,Carnivore,4867.67,0,,
Carnivora,Canidae,Vulpes vulpes,1.36,0.94,0,84.34,0,0,0,13.36,Carnivore,5476.174,0.514885637,,
Carnivora,Herpestidae,Helogale hirtula,0,100,0,0,0,0,0,0,Insectivore,289.001,0,,
Carnivora,Mustelidae,Galictis vittata,0,0,0,100,0,0,0,0,Carnivore,3200,0,,
Carnivora,Mustelidae,Martes martes,0,0.1,0,53.9,0,0,0,46,Carnivore,1300,0.697234401,,
Carnivora,Mustelidae,Meles meles,4.47,17.1,0,7.06,0,0,70.87,0.49,Herbivore,13000,0.898132982,,
Carnivora,Nandinidae,Nandinia binotata,0,10,0,0,0,0,0,90,Frugivore,2000,0.325082973,,
Carnivora,Procyonidae,Procyon lotor,67,25,0,4,0,0,0,4,Granivore,5524.971,0.872403626,,
Carnivora,Ursidae,Ursus arctos,13.22,6.81,0,7.85,0,0.18,56.32,15.62,Herbivore,180520.422,1.274948149,,
Cingulata,Dasypodidae,Chaetophractus vellerosus,0,40.68,0,21.35,0,0,37.96,0,Mixed feeder,1030.007,1.0632599,,
Cingulata,Dasypodidae,Dasypus novemcinctus,0,88.93,0,8.58,0,0,0,2.5,Insectivore,4203.78,0.407316679,,
Diprotodontia,Burramyidae,Cercartetus caudatus,0,100,0,0,0,0,0,0,Insectivore,25,0,,
Diprotodontia,Macropodidae,Thylogale stigmatica,0,0,0,0,0,0,100,0,Herbivore,4600,0,,
