Order,Family,Species,Seeds,Invertebrate,Fungi,Vertebrate,Flowers.Gum,Roots.Tubers,Green.Plants,Fruit,Main_food,Body_mass_g,Diet diversity (Inv simpson),,
Macroscelidea,Macroscelidae,Elephantulus brachyrhynchus,0,100,0,0,0,0,0,0,Insectivore,47.5,0,,
Macroscelidea,Macroscelidae,Elephantulus rufescens,0.3,63,0,0,0,0,36.7,0,Insectivore,37.5,0.676388158,,
Macroscelidea,Macroscelidae,Macroscelides proboscideus,0,98,0,0,0,0,1,1,Insectivore,38.2,0.111902057,,
Microbiotheria,Microbiotheriidae,Dromiciops gliroides,4.96,71.63,2.23,0,0.1,0,18.64,2.43,Insectivore,22.3,0.883147243,,
Paucituberculata,Caenolestidae,Caenolestes fuliginosus,0,96.9,0,2.5,0,0,0.6,0,Insectivore,27.8,0.153432418,,
Paucituberculata,Caenolestidae,Rhyncholestes raphanurus,3.84,54.6,7.99,0,0.51,0,31.75,1.31,Insectivore,21,1.105453867,,
Pholidota,Manidae,Manis crassicaudata,0,100,0,0,0,0,0,0,Insectivore,3900,0,,
Primates,Atelidae,Alouatta seniculus,0,0.11,0.12,0,0.35,0,53.67,45.75,Herbivore,6145.539,0.727108796,,
Primates,Atelidae,Ateles paniscus,0,0.08,0,0.08,0,0,9.6,90.24,Frugivore,7900.053,0.329050651,,
Primates,Cebidae,Cebus apella,0,26.74,0,0.19,0.04,0,4.75,68.28,Frugivore,2500,0.772996301,,
Primates,Cercopithecidae,Cercocebus agilis,0,6.1,0,0,5.1,0,6.1,82.7,Frugivore,8000,0.650081077,,
Primates,Cercopithecidae,Cercopithecus cephus,0,12.6,0,0,0,0,6.1,81.3,Frugivore,3484.978,0.599926061,,
Primates,Cercopithecidae,Cercopithecus neglectus,0,4.9,5.4,0,3,0,9.4,77.3,Frugivore,5479.993,0.83187961,,
Primates,Cercopithecidae,Cercopithecus nictitans,0,9.6,0.4,0,1,0,17,72,Frugivore,5803.345,0.830860217,,
Primates,Cercopithecidae,Cercopithecus pogonias,0,16.1,0.1,0,0.1,0,1.2,82.5,Frugivore,3764.957,0.519639003,,
Primates,Cercopithecidae,Colobus guereza,0,0.1,0,0,0,0,50.8,49.1,Herbivore,10600,0.700216637,,
Primates,Cercopithecidae,Mandrillus sphinx,0,4,1,0,0,0,3,92,Frugivore,18249.879,0.356714552,,
Primates,Cercopithecidae,Miopithecus talapoin,0,36.2,0,0,1.5,0,2,60.3,Frugivore,1250,0.814088606,,
Primates,Galagidae,Euoticus elegantulus,0,20,0,0,75,0,0,5,Gumivore,300,0.687435751,,
Primates,Galagidae,Galago alleni,0,23.47,0,2.04,0,0,0,74.49,Frugivore,260,0.638963544,,
Primates,Galagidae,Galago demidoff,0,70.71,0,0,10.1,0,0,19.19,Insectivore,61,0.793409928,,
Primates,Lorisidae,Arctocebus calabarensis,0,85.86,0,0,0,0,0,14.14,Insectivore,210,0.407496774,,
Primates,Lorisidae,Perodicticus potto,0,10.42,0,0,21.88,0,0,67.71,Frugivore,1099.993,0.832172906,,
Proboscidea,Elephantidae,Loxodonta africana,0,0,0,0,0,0,96,4,Herbivore,3940034.276,0.167944148,,
Rodentia,Cricetidae,Abrothrix longipilis,16.1,51.27,1.86,1.12,0,2.49,27.16,0,Insectivore,37.55,1.206944279,,
Rodentia,Cricetidae,Abrothrix sanborni,4.62,37.1,25.69,0,0.62,0,29.39,2.57,Mixed feeder,24.7,1.344595536,,
Rodentia,Cricetidae,Akodon azarae,33.92,53.18,0,0,0,0,12.9,0,Insectivore,25,0.966741138,,
Rodentia,Cricetidae,Calomys laucha,59.62,27.84,0,0,0,0,12.54,0,Granivore,14,0.924692572,,
Rodentia,Cricetidae,Calomys musculinus,57.08,27.32,0,0,0,0,15.6,0,Granivore,20.1,0.964380178,,
Rodentia,Cricetidae,Irenomys tarsalis,28.5,2.38,3.21,0,7.56,0,40.83,17.51,Mixed feeder,43.15,1.423199571,,
Rodentia,Cricetidae,Loxodontomys micropus,19.37,2.75,5.81,0,19.47,0,24.57,28.03,Mixed feeder,72.699,1.602073909,,
Rodentia,Cricetidae,Microtus ochrogaster,1.15,2.65,0,0,0,0,96.2,0,Herbivore,38.013,0.184832051,,
Rodentia,Cricetidae,Necromys obscurus,36.09,43.07,0,0,0,0,20.84,0,Mixed feeder,40.7,1.057443031,,
Rodentia,Cricetidae,Peromyscus attwateri,60.36,31.03,0,0,0,2.6,1.6,4.4,Granivore,27.9,0.966328821,,
Rodentia,Cricetidae,Peromyscus leucopus,40.02,37.31,0.23,0.4,0,0,22.04,0,Mixed feeder,21.175,1.103713452,,
Rodentia,Cricetidae,Phyllotis darwini,41.65,2.38,0.03,3.1,0,0,52.85,0,Herbivore,50.833,0.900926705,,
Rodentia,Ctenomyidae,Ctenomys mendocinus,0,0,0,0,0,0,100,0,Herbivore,163.05,0,,
Rodentia,Heteromyidae,Chaetodipus baileyi,88.1,8.9,0,0,0,0,3,0,Granivore,26.35,0.432118952,,
Rodentia,Heteromyidae,Chaetodipus intermedius,82.4,16.2,0,0,0,0,1.4,0,Granivore,16.5,0.514141353,,
Rodentia,Heteromyidae,Dipodomys merriami,78.4,15.5,0,0,0,0,6.1,0,Granivore,42,0.650364408,,
Rodentia,Heteromyidae,Perognathus amplus,94.3,3.7,0,0,0,0,2,0,Granivore,11.7,0.255567166,,
Rodentia,Muridae,Acomys cahirinus,42.44,7.01,0,0,0,0,32.23,18.32,Mixed feeder,52.454,1.225912549,,
Rodentia,Muridae,Acomys dimidiatus,53,13,0,0,3,0,31,0,Granivore,52.454,1.069977653,,
Rodentia,Muridae,Aethomys chrysophilus,58.3,4.2,0,0,0,0,37.5,0,Granivore,74.85,0.815522766,,
Rodentia,Muridae,Arvicanthis niloticus,0,0.1,0,0,0,0,99.9,0,Herbivore,106.9,0.007907255,,
Rodentia,Muridae,Geoxus valdivianus,1.91,55.87,8.12,0,0.2,0,33.9,0,Insectivore,31.5,0.983866592,,
Rodentia,Muridae,Gerbilliscus leucogaster,25.5,24.9,0,0,0,0,49.6,0,Mixed feeder,72.833,1.042425644,,
Rodentia,Muridae,Gerbilliscus robustus,25.93,14.21,0,0,6.41,0,27.33,26.13,Mixed feeder,96,1.508523812,,
Rodentia,Muridae,Gerbillurus paeba,0,8.41,0,0,0,0,91.59,0,Herbivore,23.3,0.288670533,,
Rodentia,Muridae,Grammomys dolichurus,56,2,7,0,0,0,35,0,Granivore,41.175,0.956524764,,
Rodentia,Muridae,Lemniscomys rosalia,15.4,0,0,0,0,0,84.6,0,Herbivore,59.3,0.4295852,,
Rodentia,Muridae,Lorentzimys nouhuysi,0,38.88,21.28,0,0,0,39.85,0,Mixed feeder,14.2,1.063215533,,
Rodentia,Muridae,Mastomys natalensis,47,9.5,0,0,0,0,43.5,0,Mixed feeder,54.54,0.940577084,,
Rodentia,Muridae,Maxomys surifer,0,40.94,0,0,0,0,52.57,6.49,Herbivore,150.365,0.881153355,,
Rodentia,Muridae,Micaelamys namaquensis,40.2,0,0,0,0,0,59.8,0,Herbivore,50.625,0.673814268,,
Rodentia,Muridae,Mus minutoides,7.61,8.81,0,0,0,0,83.58,0,Herbivore,7.011,0.559945157,,
Rodentia,Muridae,Myotomys unisulcatus,0,0,0,0,0,0,100,0,Herbivore,124.5,0,,
Rodentia,Muridae,Oligoryzomys flavescens,47.07,41.57,0,0,0,0,11.36,0,Mixed feeder,23.767,0.966674661,,
Rodentia,Muridae,Oligoryzomys longicaudatus,39.02,14.27,2.44,0,5,0,26.46,12.8,Mixed feeder,27,1.500420131,,
Rodentia,Muridae,Otomys angoniensis,0,0,0,0,0,0,100,0,Herbivore,121.9,0,,
Rodentia,Muridae,Otomys irroratus,0,0,0,0,0,0,100,0,Herbivore,118.017,0,,
Rodentia,Muridae,Pseudohydromys ellermani,0,61.5,15.3,0,0,0,23.2,0,Insectivore,22.5,0.925157512,,
Rodentia,Muridae,Pseudohydromys fuscus,0,52.4,21.9,0,0,0,25.7,0,Insectivore,18.75,1.020414374,,
Rodentia,Muridae,Pseudohydromys murinus,0,66.3,23.1,0,0,0,10.6,0,Insectivore,16.8,0.848870425,,
Rodentia,Muridae,Pseudohydromys occidentalis,0,99.5,0,0,0,0,0.5,0,Insectivore,21.9,0.031479066,,
Rodentia,Muridae,Rattus rattus,61.2,0.4,0,0,0,0,38.4,0,Granivore,178.25,0.690123204,,
Rodentia,Muridae,Rhabdomys pumilio,32.83,5.46,0,0,0,0,61.7,0,Herbivore,41.117,0.822354201,,
Rodentia,Muridae,Taterillus harringtoni,24.92,2.3,0,0,3.45,0,26.98,42.34,Mixed feeder,52,1.266550469,,
Rodentia,Nesomydae,Dendromus mesomelas,87,1.3,0,0,0,0,11.7,0,Granivore,11.12,0.428647493,,
Rodentia,Nesomydae,Dendromus mystacalis,39.7,16.2,0,0,0,0,44.1,0,Mixed feeder,7.717,1.022673179,,
Rodentia,Nesomydae,Malacothrix typica,16,11.8,0,0,0,0,72.2,0,Herbivore,13.4,0.780564533,,
Rodentia,Nesomydae,Saccostomus campestris,66.7,0,0,0,0,0,33.3,0,Granivore,51.225,0.636282869,,
Rodentia,Nesomydae,Saccostomus mearnsi,44,3,0,0,0,0,53,0,Herbivore,45.5,0.802913664,,
Rodentia,Nesomydae,Steatomys pratensis,38.8,0,0,0,0,0,61.2,0,Herbivore,48,0.66784505,,
Rodentia,Octodontidae,Octodon degus,34.07,0.42,0,3.39,0,0,62.11,0,Herbivore,210,0.800351185,,
Rodentia,Octodontidae,Tympanoctomys barrerae,0,0,0,0,0,0,100,0,Herbivore,70,0,,
Rodentia,Sciuridae,Callosciurus melanogaster,23.71,63.92,0,0,0,0,12.37,0,Insectivore,278,0.885838047,,
Rodentia,Sciuridae,Cynomys ludovicianus,0,0,0,0,0,0,100,0,Herbivore,1364,0,,
Rodentia,Sciuridae,Epixerus ebii,0,1.6,0,0,0,0,0,98.4,Frugivore,591.998,0.082033977,,
Rodentia,Sciuridae,Funisciurus anerythrus,0,19.5,0.6,0,0,0,3,76.9,Frugivore,218.002,0.656658931,,
Rodentia,Sciuridae,Funisciurus isabella,0,5.53,1.64,0,0,0,9.93,82.91,Frugivore,109.001,0.612272685,,
Rodentia,Sciuridae,Funisciurus lemniscatus,0,36.76,0.1,0,0,0,3.16,59.98,Frugivore,141,0.790545568,,
Rodentia,Sciuridae,Funisciurus pyrropus,0,13.1,1.8,0,1.8,0,0.7,82.6,Frugivore,297.002,0.603522392,,
Rodentia,Sciuridae,Heliosciurus rufobrachium,0,4.53,0,0,0.2,0,6.24,89.03,Frugivore,371.501,0.429167184,,
Rodentia,Sciuridae,Lariscus obscurus,71.29,21.78,0,0,0,0,6.93,0,Granivore,200,0.758204619,,
Rodentia,Sciuridae,Myosciurus pumilio,0,36.8,0,0,0,0,29.9,33.3,Mixed feeder,164.999,1.09503668,,
Rodentia,Sciuridae,Paraxerus poensis,0,11.15,0,0,0,0,0,88.85,Frugivore,124.5,0.349640003,,
Rodentia,Sciuridae,Protoxerus stangeri,0,0.31,3.3,0,0,0,8.94,87.44,Frugivore,621.498,0.463652217,,
Rodentia,Sciuridae,Spermophilus lateralis,4.33,6,61.33,2,3.33,1,21.67,0.33,Fungivore,190.999,1.192439315,,
Rodentia,Sciuridae,Sundasciurus lowii,0,40.21,0,0,0,0,59.79,0,Herbivore,87.5,0.673853962,,
Rodentia,Sciuridae,Tamias amoenus,41.33,20.67,27.67,0.17,2.67,0.33,7,0.17,Mixed feeder,50.5,1.369939804,,
Rodentia,Sciuridae,Tamias quadrimaculatus,14.33,6.67,66,0.33,3.67,0,7.33,1.67,Fungivore,85.249,1.133276898,,
Rodentia,Sciuridae,Tamias speciosus,29.33,15.67,31.67,0.33,21.67,0,1,0.33,Mixed feeder,62,1.429472458,,
Rodentia,Sciuridae,Tamias townsendii,8,8,72.33,0,10,0,0,1.67,Fungivore,74.776,0.937016721,,
Rodentia,Sciuridae,Xerus rutilus,53.51,5.01,0,0,7.61,0,22.86,11.02,Granivore,317.497,1.260975373,,
Rodentia,Zapodidae,Napaeozapus insignis,24,19,37,0,0,0,8,12,Mixed feeder,22.3,1.482410112,,
Scandentia,Tupiidae,Tupaia glis,0,66.5,0,0,0,0,20.9,12.6,Insectivore,169.833,0.859477518,,
Soricomorpha,Soricidae,Blarina brevicauda,0.65,96.8,0,0,0,0,2.55,0,Insectivore,28,0.157777604,,
Soricomorpha,Soricidae,Crocidura cyanea,0,100,0,0,0,0,0,0,Insectivore,9.35,0,,
Soricomorpha,Soricidae,Crocidura flavescens,0,93.3,0,0,0,0,6.7,0,Insectivore,28.49,0.245808821,,
Soricomorpha,Soricidae,Crocidura mariquensis,0,100,0,0,0,0,0,0,Insectivore,11.25,0,,
Soricomorpha,Soricidae,Myosorex cafer,0,74.8,0,0,0,0,25.2,0,Insectivore,13.4,0.564521721,,
Soricomorpha,Soricidae,Myosorex varius,0,97.1,0,0,0,0,2.9,0,Insectivore,13.2,0.131248699,,
Soricomorpha,Soricidae,Sorex fumeus,0,99,0,0,0,0,1,0,Insectivore,7.7,0.056001534,,
Soricomorpha,Soricidae,Sorex hoyi,0,100,0,0,0,0,0,0,Insectivore,2.575,0,,
Soricomorpha,Soricidae,Sorex palustris,0,87,0,0,0,0,13,0,Insectivore,13.45,0.386386706,,
Soricomorpha,Talpidae,Parascalops breweri,0,84,0,0,0,2,14,0,Insectivore,51,0.499953105,,
Soricomorpha,Talpidae,Scapanus townsendii,1.91,72.46,0,0.59,0,18.41,6.64,0,Insectivore,141.7,0.830947623,,
Soricomorpha,Talpidae,Talpa europaea,0,100,0,0,0,0,0,0,Insectivore,77,0,,
