model_class,model_type,AICwt,rate,alpha_1,alpha_2,sigma.sq_1,sigma.sq_2,theta_1,theta_2
CD,BMV,0.69,0.2,NA,NA,0.02,-0.07,0,NA
CID,BMV,0.03,-0.07,NA,NA,-0.2,0.54,-0.01,NA
CD,OUV,0.78,0.23,0.06,NA,0.06,0,0,NA
CID,OUV,0.04,-0.08,0.07,NA,0.25,0.04,0,NA
CD,OUA,0.32,0.2,-0.65,0.11,-0.04,NA,0,NA
CID,OUA,0.02,-0.1,-2.08,0.19,0.03,NA,0,NA
CD,OUM,0.93,0.2,0.12,NA,0.06,NA,0,0.03
CID,OUM,0.66,0.12,-0.02,NA,0.11,NA,0.03,0.07
CD,OUVA,0.76,0.18,-0.69,-0.08,-0.06,0.04,0,NA
CID,OUVA,0.04,-0.07,-1.63,0.22,0.09,0.62,0,NA
CD,OUMV,0.96,0.23,0.12,NA,0.06,0.01,0,0.01
CID,OUMV,0.45,0.08,-0.81,NA,0.07,0.14,0.05,0.05
CD,OUMA,0.71,0.23,-0.47,0.11,-0.03,NA,0,-0.04
CID,OUMA,0.05,-0.08,-1.99,-0.01,-0.05,NA,0.3,0.28
CD,OUMVA,0.81,0.22,-0.32,0.04,-0.08,0.07,0.04,-0.23
CID,OUMVA,0.16,-0.06,-2.07,0.09,0.06,0.5,0.24,0.08
CD,OUBM1,0.13,0.2,-1.65,NA,-0.07,NA,0,NA
CID,OUBM1,0.04,-0.12,-0.7,NA,0.01,NA,0.01,NA
CD,OUBMV,0.78,0.15,-1.94,NA,-0.16,0.22,0,NA
CID,OUBMV,0.11,-0.09,-1.12,NA,0.11,0.48,0,NA
