"model_type","model_class","AICwt.BM1","AICwt.OU1","AICwt.CD","AICwt.CID+","best_model"
"25","CD",0.13,0.24,0.51,0.11,0.5
"100","CD",0.06,0.22,0.7,0.02,0.68
"250","CD",0.04,0.23,0.71,0.02,0.69
"25","CID",0.28,0.37,0.21,0.14,0.12
"100","CID",0.21,0.4,0.23,0.15,0.15
"250","CID",0.12,0.4,0.29,0.19,0.19
