"model_type","model_class","rate","alpha_1","alpha_2","sigma.sq_1","sigma.sq_2","theta_1","theta_2"
"BMV","CD",0.12,NA,NA,0.1,0.28,0.22,NA
"OUV","CD",0.11,1.27,NA,0.15,0.33,0.05,NA
"OUA","CD",0.12,1.55,1.63,0.11,NA,0.06,NA
"OUM","CD",0.13,1.49,NA,0.1,NA,0.07,0.13
"OUVA","CD",0.09,1.44,1.11,0.14,0.98,0.06,NA
"OUMV","CD",0.16,1.82,NA,0.16,0.32,0.07,0.17
"OUMA","CD",0.15,2.11,2.48,0.28,NA,0.12,0.5
"OUMVA","CD",0.18,1.62,1.12,0.12,1.07,0.76,1.06
"OUBM1","CD",0.1,2.64,NA,0.08,NA,0.08,NA
"OUBMV","CD",0.09,2.29,NA,0.13,2.37,0.08,NA
"BMV","CID",0.05,NA,NA,0.27,10.11,0.24,NA
"OUV","CID",0.04,1.13,NA,0.32,1.83,0.05,NA
"OUA","CID",0.05,2.93,1.34,0.33,NA,0.07,NA
"OUM","CID",0.09,2.53,NA,0.15,NA,0.44,0.2
"OUVA","CID",0.05,1.26,1.11,0.27,13.44,0.07,NA
"OUMV","CID",0.1,2.5,NA,0.16,2.12,1.3,0.68
"OUMA","CID",0.05,8.28,1.27,0.23,NA,5.88,0.8
"OUMVA","CID",0.07,5.54,1.24,0.2,9.37,8.76,1.35
"OUBM1","CID",0.05,3.33,NA,0.32,NA,0.14,NA
"OUBMV","CID",0.05,3.5,NA,0.27,8.79,0.14,NA
