"q_0.5" "q_1" "q_2" "q_4" "q_8"
"TrueMap" -2.09 0.33 4.54 4.37 -10.25
"StocMap" -3.98 -16.02 -41.4 -57.11 -76.94
"hOUwTru" 2.3 -2.98 -12.09 -25.43 -53.9
"hOuwWt" -2.16 7.98 -5.2 -20.01 -45.59
